Date,MA,RSI(*10^2),WR,ROC,MACD(*10^2)
9/24/16,0.479713975,44.99540863,0.644541168,-0.028585217,-2.616342158
9/25/16,0.674489796,50.05107252,0.562285714,-0.013007037,-1.956750711
9/26/16,0.630857143,50.05107252,0.72,-0.019544294,-1.713588156
9/27/16,0.610612245,50.05107252,0.321142857,-0.004697612,-0.497108439
9/28/16,0.597755102,50.05107252,0.337714286,-0.007716504,0.33888192
9/29/16,0.571102041,50.05107252,0.441714286,-0.00863555,0.696510493
9/30/16,0.572244898,50.05107252,0.125142857,0.003871244,1.673372208
10/1/16,0.509643202,50.05107252,0,0.005297753,2.969294714
10/2/16,0.514464802,50.05107252,0.088717454,0.004572346,3.46258749
10/3/16,0.520181843,50.05107252,0.143201543,0.005241021,3.509677423
10/4/16,0.523488084,74.58143075,0.25072324,0.017933476,3.1262294
10/5/16,0.552073288,74.58143075,0.368370299,0.016336915,2.45910078
10/6/16,0.602562336,78.02547771,0.132111861,0.03029895,2.580377157
10/7/16,0.507366194,71.66324435,0,0.022073922,3.21292793
10/8/16,0.549917718,71.66324435,0.135490949,0.021604015,3.155424828
10/9/16,0.604419716,73.86243386,0.085573231,0.027830645,3.092639291
10/10/16,0.545966816,69.16354557,0,0.019110172,3.147868017
10/11/16,0.591933632,66.66666667,0.202337473,0.015024683,2.672215361
10/12/16,0.327319824,87.96175576,0,0.051602219,4.819549408
10/13/16,0.318375856,87.96175576,0,0.043600978,6.025283707
10/14/16,0.379504616,87.96175576,0.067407922,0.031228652,6.195036005
10/15/16,0.408763701,87.96175576,0,0.04071911,6.440379438
10/16/16,0.426547897,87.96175576,0,0.048328839,6.649402151
10/17/16,0.483123331,87.96175576,0.071553738,0.048144746,6.052669598
10/18/16,0.538760013,87.96175576,0.149824766,0.047942949,4.939035578
10/19/16,0.515459149,74.19354839,0.414792093,0.028051889,2.992049178
10/20/16,0.509022275,74.19354839,0.513493253,0.01702824,1.321249065
10/21/16,0.548404369,74.19354839,0.356071964,0.027946774,0.639482303
10/22/16,0.430150542,76.99346405,0,0.06469585,3.082924258
10/23/16,0.496122399,76.99346405,0.054777696,0.057826214,4.058355518
10/24/16,0.555514616,76.99346405,0.100466716,0.059566993,4.100507656
10/25/16,0.452475298,76.99346405,0.006123919,0.031968001,4.283875142
10/26/16,0.494776657,76.99346405,0.145172911,0.024356878,3.543374579
10/27/16,0.312647444,81.38058715,0,0.076022838,6.674565013
10/28/16,0.348101115,81.38058715,0,0.077969715,8.822651355
10/29/16,0.405246355,81.38058715,0.02951968,0.069361729,9.299028835
10/30/16,0.403244166,81.38058715,0,0.092383054,10.45047037
10/31/16,0.44213978,81.38058715,0,0.103270521,10.90827996
11/1/16,0.500528887,86.0458613,0.067178244,0.10768375,9.735031591
11/2/16,0.422436999,87.92060034,0,0.168243803,12.85139858
11/3/16,0.43968614,43.50742693,0.465042895,0.085849475,7.808760184
11/4/16,0.351677185,43.50742693,0.605809129,0.043037164,3.601507405
11/5/16,0.394661599,43.50742693,0.348303637,0.078897819,3.139841753
11/6/16,0.445875031,43.50742693,0.260312424,0.093047176,3.27002779
11/7/16,0.496562914,43.50742693,0.285417684,0.083395645,2.576270596
11/8/16,0.543373578,43.50742693,0.297508549,0.088295341,1.530594898
11/9/16,0.365570059,43.50742693,0.24261397,0.056741227,1.968548506
11/10/16,0.403303787,43.50742693,0.238315874,0.049179851,1.855200865
11/11/16,0.443262922,43.50742693,0.360193392,0.043066875,0.553075906
11/12/16,0.468875907,43.50742693,0.596696213,0.008180516,-2.153397689
11/13/16,0.475034534,43.50742693,0.625503626,0.00039886,-4.277383728
11/14/16,0.48145217,43.50742693,0.541297341,0.013557912,-5.199151783
11/15/16,0.501453321,30.9112218,0.451651894,-0.030572866,-5.272760835
11/16/16,0.6175426,64.25091352,0.258397249,0.037250244,-5.262200097
11/17/16,0.506422806,68.24452259,0,0.07791543,-2.071865012
11/18/16,0.286172161,68.24452259,0,0.060627988,1.076560338
11/19/16,0.344814928,68.24452259,0,0.051938202,2.869736638
11/20/16,0.370908535,55.88039867,0.426552463,0.026902924,0.98408381
11/21/16,0.414606913,55.88039867,0.223768737,0.041694289,0.640420545
11/22/16,0.457433466,55.88039867,0.257173448,0.022249039,-0.128015451
11/23/16,0.489094524,55.88039867,0.15738758,0.027900208,-0.328224569
11/24/16,0.513490364,55.88039867,0.246895075,0.030749878,-1.289333002
11/25/16,0.544371367,55.88039867,0.285653105,0.045373805,-2.371541116
11/26/16,0.590195779,55.88039867,0.327837259,0.044697272,-3.487937456
11/27/16,0.593048649,55.88039867,0.494355597,0.030433429,-5.036645383
11/28/16,0.584599797,55.88039867,0.569214605,0.023069024,-6.117817718
11/29/16,0.61725791,55.88039867,0.436778523,0.02947747,-6.063133484
11/30/16,0.444129475,34.64566929,0.290263036,0.007775185,-4.700994088
12/1/16,0.460907113,33.37792642,0.319796954,-0.00731753,-3.935545388
12/2/16,0.260796606,60.39761431,0,0.031309247,0.384000827
12/3/16,0.285096884,78.95010395,0.179521277,0.048377363,1.792466135
12/4/16,0.338779129,78.95010395,0.209663121,0.033092765,2.158664965
12/5/16,0.364266717,78.4607438,0.394503546,0.023962984,0.95657999
12/6/16,0.39537424,78.4607438,0.350398936,0.020212235,0.150833084
12/7/16,0.42285651,78.4607438,0.29787234,0.02920876,-0.316100568
12/8/16,0.473942503,78.4607438,0.060062057,0.046327008,0.521556592
12/9/16,0.528368794,78.4607438,0.053413121,0.049545436,0.800569427
12/10/16,0.584425659,78.4607438,0.074246454,0.05648662,0.554716043
12/11/16,0.601170112,78.4607438,0,0.068320249,1.122359413
12/12/16,0.632680708,78.4607438,0,0.060446834,1.156700106
12/13/16,0.609786152,78.4607438,0,0.047529925,0.978699439
12/14/16,0.6737817,78.4607438,0.086254869,0.044255778,0.152679266
12/15/16,0.604207436,56.266387,0.053082192,0.00559274,-0.403482399
12/16/16,0.614756605,56.266387,0.090325342,0.015111274,-1.108871892
12/17/16,0.472598432,60.58601134,0,0.033723475,-0.120961835
12/18/16,0.525913036,80.52763819,0.008805401,0.044750407,0.202187895
12/19/16,0.572296936,80.52763819,0.000935162,0.042359441,0.164029998
12/20/16,0.545286971,80.52763819,0,0.044928128,0.430724533
12/21/16,0.238760333,90.94097019,0,0.070791976,4.281395636
12/22/16,0.270504954,90.94097019,0,0.084348458,7.56816184
12/23/16,0.205712989,95.53571429,0,0.171932699,17.4059078
12/24/16,0.238439894,87.24355602,0.076728366,0.147503218,21.08890816
12/25/16,0.303755057,87.24355602,0.068897326,0.148777349,22.03752002
12/26/16,0.371742717,87.24355602,0.03148236,0.153395288,21.64967049
12/27/16,0.372266529,87.24355602,0,0.200647834,24.00849672
12/28/16,0.440116327,87.24355602,0.000194187,0.197734149,23.68961203
12/29/16,0.433729524,87.24355602,0,0.241661082,25.87601334
12/30/16,0.465167448,85.52275364,0.064178763,0.207239762,23.80867199
12/31/16,0.534326372,85.52275364,0.030060578,0.215271436,21.32460345
1/1/17,0.517473605,85.52275364,0,0.265066504,22.95333034
1/2/17,0.538377474,85.52275364,0,0.281027374,24.29716765
1/3/17,0.545533107,85.52275364,0.013297872,0.229565281,22.68180255
1/4/17,0.395702878,90.98498836,0,0.349461657,34.0363085
1/5/17,0.298657392,46.18017357,0.561726558,0.103582563,21.52174232
1/6/17,0.328528903,46.18017357,0.540548586,0.121174056,12.14846033
1/7/17,0.327282322,46.18017357,0.981935429,0.004738965,-8.551339774
1/8/17,0.319733956,46.18017357,0.950811116,0.01204685,-20.67875409
1/9/17,0.323822157,46.18017357,0.940590615,-0.021367843,-27.89390545
1/10/17,0.316267063,46.18017357,0.959900839,-0.026108734,-32.45498342
1/11/17,0.509350505,46.18017357,1,-0.184932218,-49.89494467
1/12/17,0.477766349,46.18017357,1,-0.17983511,-59.50584347
1/13/17,0.45177167,46.18017357,0.868812167,-0.137592368,-57.23054583
1/14/17,0.422813192,46.18017357,0.893043026,-0.180220904,-54.35444426
1/15/17,0.38601459,46.18017357,0.888300948,-0.19333248,-49.84974967
1/16/17,0.347708271,46.18017357,0.856638908,-0.180497721,-43.25852549
1/17/17,0.325076005,35.70072531,0.644575526,-0.197841599,-27.64326484
1/18/17,0.442091032,37.77102539,0.425410323,-0.088541928,-16.13598755
1/19/17,0.409803631,37.77102539,0.47479141,-0.103887486,-9.500846584
1/20/17,0.633347646,37.77102539,0.130191499,-0.003578061,-5.144994476
1/21/17,0.63269163,37.77102539,0.114609863,-0.013764398,-1.898723768
1/22/17,0.600835838,37.77102539,0,0.008911273,3.159520758
1/23/17,0.591927161,37.77102539,0,0.017685131,6.593035836
1/24/17,0.598971159,87.16308464,0.014903002,0.171607957,8.101796313
1/25/17,0.653534625,73.14661863,0.205648208,0.143581449,5.138594393
1/26/17,0.623098778,73.14661863,0.058728402,0.108516683,5.876783675
1/27/17,0.683964562,73.14661863,0.067428657,0.118766123,5.842967131
1/28/17,0.750253178,73.14661863,0.017180067,0.122948264,6.101046225
1/29/17,0.795569423,73.14661863,0.067056572,0.102869356,5.284049387
1/30/17,0.55610266,46.030358,0.340485626,0.009238361,3.905208667
1/31/17,0.285933424,66.10747421,0,0.064092295,9.418240905
2/1/17,0.296703698,66.10747421,0,0.093664998,14.15183994
2/2/17,0.353755973,66.10747421,0,0.100488802,16.67656706
2/3/17,0.337547963,66.10747421,0,0.131064937,20.95104674
2/4/17,0.363657997,66.10747421,0,0.122355045,24.56542615
2/5/17,0.414223403,66.10747421,0,0.121461439,25.61860672
2/6/17,0.465855884,66.10747421,0.071308595,0.11309472,23.2774299
2/7/17,0.477465047,83.92859783,0,0.175874973,23.49274618
2/8/17,0.478224373,83.92859783,0,0.149443546,22.26323189
2/9/17,0.508769673,40.63042601,0.54558834,0.066720944,9.999039961
2/10/17,0.551455926,40.63042601,0.382058301,0.085613606,4.168673733
2/11/17,0.590701139,40.63042601,0.392819054,0.089151717,-0.461811432
2/12/17,0.633701304,40.63042601,0.371385531,0.096925668,-3.518495428
2/13/17,0.486502755,27.84078086,0.600933466,0.036458048,-5.898090995
2/14/17,0.444207896,27.84078086,0.672947861,0.021941451,-7.453478909
2/15/17,0.474573312,27.84078086,0.52795929,0.029393329,-7.142489996
2/16/17,0.522778894,25.37724909,0.229770189,0.021895887,-4.161215688
2/17/17,0.543418035,25.37724909,0.22987607,0.004074287,-2.574663391
2/18/17,0.540535192,25.37724909,0,0.021823608,0.797575825
2/19/17,0.557129119,25.37724909,0.047903313,0.028090967,1.881918483
2/20/17,0.580948876,23.06103522,0.071611097,0.000723734,1.719825454
2/21/17,0.35243126,48.72421234,0,0.067387665,10.33172796
2/22/17,0.386472334,94.97520334,0.003827331,0.150721991,14.58889033
2/23/17,0.351779864,94.97520334,0,0.131023963,16.79854913
2/24/17,0.333587673,94.97520334,0,0.177704518,22.42975629
2/25/17,0.387335998,75.0351982,0.138640448,0.149910449,21.03746091
2/26/17,0.448468609,75.0351982,0.139987471,0.150511081,18.33442403
2/27/17,0.478962578,75.0351982,0,0.18932476,20.09399842
2/28/17,0.521079487,75.0351982,0.017859867,0.1731056,18.9517187
3/1/17,0.532177205,75.0351982,0,0.15038703,16.8383803
3/2/17,0.440965107,75.0351982,0,0.216586956,22.5101337
3/3/17,0.431348462,75.0351982,0,0.216254809,27.25107977
3/4/17,0.497634753,75.0351982,0,0.22247846,28.05142389
3/5/17,0.563625646,75.0351982,0.068041757,0.209410584,23.98790459
3/6/17,0.468681243,73.85192691,0.072065299,0.134730828,19.62907817
3/7/17,0.536592292,73.85192691,0.045794029,0.139132466,15.27383756
3/8/17,0.532105772,35.94487201,0.825572966,0.024232794,-5.019954417
3/9/17,0.49503515,35.94487201,0.691874823,0.014982891,-14.16640063
3/10/17,0.504039525,35.94487201,0.694649784,0.036054302,-20.33945531
3/11/17,0.518967308,35.94487201,0.789285845,0.025026622,-25.88083502
3/12/17,0.53540523,35.94487201,0.459122677,0.030856699,-22.85725477
3/13/17,0.555756939,35.94487201,0.457692388,0.033778955,-20.71728957
3/14/17,0.587614585,35.94487201,0.321196466,0.045747958,-16.96180991
3/15/17,0.624269229,28.35856536,0.228386148,-0.001596931,-13.07463059
3/16/17,0.622940585,28.35856536,0.231469515,-0.021896447,-10.8651882
3/17/17,0.679697205,22.5691558,1,-0.152158595,-30.9128966
3/18/17,0.758190983,22.5691558,1,-0.25076134,-60.35763164
3/19/17,0.6920059,22.5691558,0.952767595,-0.241144925,-74.30459952
3/20/17,0.642655098,32.92356281,0.704058347,-0.180082463,-69.22151735
3/21/17,0.651542707,32.92356281,0.45473286,-0.033491862,-53.83180466
3/22/17,0.641151848,32.92356281,0.4731819,-0.066642515,-42.2612183
3/23/17,0.605180909,32.92356281,0.716363293,-0.128598512,-42.34796666
3/24/17,0.561445396,32.92356281,1,-0.201194228,-52.53223721
3/25/17,0.525600703,32.92356281,1,-0.24404557,-57.81346992
3/26/17,0.466911505,32.92356281,0.912415864,-0.220654965,-54.14428729
3/27/17,0.425622039,32.92356281,0.668256975,-0.167132181,-38.34982078
3/28/17,0.381323399,32.92356281,0.656690659,-0.172069103,-25.47700063
3/29/17,0.334722217,32.92356281,0.657685295,-0.172175418,-15.59783201
3/30/17,0.495528807,36.9414085,0.423311352,-0.048816633,-8.358978879
3/31/17,0.47439169,45.65957867,0.439905737,0.086646538,-3.198445978
4/1/17,0.524843851,45.65957867,0.166232118,0.123220836,7.461343679
4/2/17,0.574090647,45.36795944,0.102049888,0.047741281,15.89311772
4/3/17,0.585666609,45.36795944,0.202622099,-0.03454229,18.4400502
4/4/17,0.530384201,45.36795944,0,0.025696642,27.43452775
4/5/17,0.537096581,45.36795944,0.039879415,0.090769458,30.98492167
4/6/17,0.568767863,80.74811491,0.037770156,0.203425284,32.01144137
4/7/17,0.530546426,80.74811491,0,0.282913851,38.53729503
4/8/17,0.549977557,80.74811491,0.03981895,0.234497006,39.62697738
4/9/17,0.428927512,76.26037066,0.041256661,0.141531633,38.71711412
4/10/17,0.456460046,76.26037066,0,0.160133016,39.17267223
4/11/17,0.480648008,76.26037066,0,0.17878716,39.75278532
4/12/17,0.547102211,76.26037066,0.039228446,0.174568509,36.92048125
4/13/17,0.600007806,61.19627838,0.242829082,0.140406008,27.98814267
4/14/17,0.549892805,61.19627838,0.282055626,0.09046629,21.29145875
4/15/17,0.590535488,61.19627838,0.383674381,0.064767899,13.72844743
4/16/17,0.633286466,61.19627838,0.270684217,0.09901704,10.00397535
4/17/17,0.52109712,59.30193932,0.224317656,0.056091881,9.131013065
4/18/17,0.548106572,59.30193932,0.530770216,0.038735758,4.023888818
4/19/17,0.611027335,59.30193932,0.093320726,0.074457745,5.408031483
4/20/17,0.389395873,51.18323553,0,0.043035736,8.580070289
4/21/17,0.435637816,51.18323553,0.070890026,0.046971316,9.009387736
4/22/17,0.404593317,51.18323553,0,0.065269651,11.47214276
4/23/17,0.462676343,51.18323553,0.036537298,0.04160087,11.47982532
4/24/17,0.488667609,51.18323553,0.225079156,0.011595275,8.157589903
4/25/17,0.442128433,51.18323553,0,0.049483375,10.01598865
4/26/17,0.393846621,58.8296011,0,0.109392854,13.86792171
4/27/17,0.449443215,58.8296011,0.151999236,0.086698225,12.25386293
4/28/17,0.452303568,60.1540835,0,0.137508484,15.48566799
4/29/17,0.493261146,60.1540835,0,0.124735197,16.49699544
4/30/17,0.559293801,60.1540835,0.012524841,0.10564154,15.30307366
5/1/17,0.430816471,79.96452931,0,0.204085757,23.75067266
5/2/17,0.350950343,79.96452931,0,0.192249294,31.45591232
5/3/17,0.370742983,79.96452931,0.021008893,0.165793623,33.18760903
5/4/17,0.364123159,79.96452931,0,0.219679391,39.33934034
5/5/17,0.396251773,79.96452931,0,0.215667506,43.29284106
5/6/17,0.459119444,79.96452931,0.049864331,0.207284858,40.50467632
5/7/17,0.522453951,79.96452931,0,0.237765086,37.59129475
5/8/17,0.398997588,83.24081171,0,0.282320142,45.85146167
